Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","I have paid my account as agreed but the company keeps reporting an inaccurate information on my account, they marked it as late payments. On XX/XX/2020 I wrote to the credit bureaus and requested information about an account they are reporting on my credit report but they never responded. I advised them that if they failed to respond and/or comply with the law, then they would be subject to fines and damages, per the FCRA."
"Credit reporting, credit repair services, or other personal consumer reports","After carefully reviewing the credit card statement, there were unfair credit billing with your credit card practices. I would pay the monthly statement online on the due date but your system says that I did not pay until the next business day. I was charge late fees because of this. Please send me proof of charges. What was the prime rate for finance charges?"
"Credit reporting, credit repair services, or other personal consumer reports","I sent letters to all Transunion, XXXX  and XXXX  about unauthorized reporting on my credit report.I first disputed on transition and they was able to take it off. The other bureaus have not responded to my letters yet and it has def passed the 60 day mark.These "" credit bureaus "" are not operating with in the boundaries of FCRA and FDCPA"
Debt collection,this debt was in my business name it was not a consumer debt. But they put it on my consumer credit report. I was told that once collection was paid they would delete it. They lied. Under 15 USC 1692 FDCPA it is illegal for a debt collector to lie to a consumer.
"Credit reporting, credit repair services, or other personal consumer reports",i went to the XXXX police department to have them sign my Identity theft victims complaint and affidavit with my federal trade commission identity theft report so it will support my request to block the fraudulent accounts in my credit report. please see attached updated reports with my Drivers license and social security card current copy of my utility bill for my identity.
"Credit reporting, credit repair services, or other personal consumer reports",credit beuarus are refusing to correct inaccurate information such as in quires and also proof of things that should be deletthese companies have not provided any original documents or any contracts bearing my signatures and yet they still reporting and not being held accountable.
"Credit reporting, credit repair services, or other personal consumer reports","I see false or misleading representations on my credit report. There are several accounts that I see listed on my credit report inaccurate and inconsistent. I written the bureaus several times but have not heard back anything from them regarding my dispute letters I sent months ago. I can't dispute online so I came here, my only resort. The following accounts need to reported correctly XXXX XXXX XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX Has a Credit Hard Inquiries on my credit report XX/XX/21 page 7 of 10 Report number # XXXX I don't no this company or who it is. This company has committed fraud in which they can not provide any contract or information showing that i agreed to there services. I contacted them and got nothing but the run around and no return call from this company. 
I have also reported this to the US Attorney office as fraud from XXXX XXXX."
"Credit reporting, credit repair services, or other personal consumer reports","I have a few addresses on my credit report that do not belong to me and I have issues with my verifications for my job. I really need these addresses off my file please delete remove the following:XXXX XXXX XXXX XXXX XXXX , OH XXXX XXXX XXXX XXXX XXXX, OH XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",The information on my report is not mine and I have written them a few times to prove the original instrument of indebtedness in its original form. I still have not received it yet.
Debt collection,Medical bills was paid. Not bankruptcy
"Credit reporting, credit repair services, or other personal consumer reports","I have submitted four disputes to the reporting agency since XX/XX/2020 and three complaints with the CFPB regarding the investigation practices of the agency. I have requested "" method of verification '', supporting documents, names, contact numbers, dates, and misc. information related to how their investigation was conducted. The agency has made numerous violations of my CRA rights, metro 2 compliance, and including denying that I am a customer during my 3-previous cfpb complaints I request that Experian be investigated for negligence, willful misconduct, and violation of CRA process and procedure."
"Credit reporting, credit repair services, or other personal consumer reports","I have submitted four disputes to the reporting agency since XX/XX/2020 and three complaints with the CFPB regarding the investigation practices of the agency. I have requested "" method of verification '', supporting documents, names, contact numbers, dates, and misc. information related to how their investigation was conducted. The agency has made numerous violations of my CRA rights, metro 2 compliance, and including denying that I am a customer during my 3-previous cfpb complaints I request that Experian be investigated for negligence, willful misconduct, and violation of CRA process and procedure."
